,Title,Company,Location,Skills
447,Business Development (Sales),The Startup Folks,Work from home,MS-ExcelEnglish Proficiency (Spoken)English Proficiency (Written)
448,MIS,Zippee,"Mumbai, Bangalore",OperationsMS-ExcelEffective CommunicationData AnalysisData CleaningCollaboration
449,Social Media Marketing,Mify Solutions Private Limited,Ghaziabad,Social Media MarketingAdobe PhotoshopCanvaCapcut
450,Data Analytics,"Adore Beauty (Melbourne, Australia)",Work from home,PythonSQLData AnalyticsMS-ExcelData entryData SciencePower BI+2 more
451,Content and Social Media Marketing,RaviShikha Investments,Panipat,Social Media MarketingEmail MarketingCanvaFilmora
452,Data Analytics Mentor,Mikado Solutions,Work from home,PythonData AnalyticsR ProgrammingData VisualizationPower BITableauData Analysis
453,AI and ML Mentor,Mikado Solutions,Work from home,Machine LearningComputer VisionNeural NetworksNatural Language Processing (NLP)Artificial intelligenceGenerative AI DevelopmentLLMOps+1 more
454,Video Editing & AI Content Generation,KalaGato,Work from home,Video Editing
455,Sales and Marketing,Sahas Global Safety,Ghaziabad,Problem SolvingComputer skillsLead GenerationTeamworkAdaptabilitySalesMarketing+2 more
456,Tech,STARTUP SQUAD PRIVATE LIMITED,Gurgaon,JavaScriptPython
457,Research & Insights,Caarya,"Chennai, Delhi, Kolkata, Hyderabad, Mumbai, Bangalore, Vishakhapatnam                                                                (Hybrid)",Attention to DetailMS-ExcelLead GenerationResearch and AnalyticsEmail ManagementGoogle SheetsSales Strategy
458,Digital Marketing,Break Protection,Bangalore,Social Media MarketingCreative WritingInstagram Marketing
